编号,年份,学校,一等奖数,二等奖数,三等奖数,总获奖
1,2013,复旦大学,6,5,17,28
2,2014,复旦大学,11,11,26,48
3,2015,复旦大学,10,9,10,29
4,2016,复旦大学,10,9,19,38
5,2017,复旦大学,6,11,31,48
6,2018,复旦大学,13,20,33,66
7,2019,复旦大学,19,24,40,83
8,2013,上海交通大学,15,15,23,53
9,2014,上海交通大学,29,20,49,98
10,2015,上海交通大学,30,18,33,81
11,2016,上海交通大学,24,32,38,94
12,2017,上海交通大学,13,29,28,70
13,2018,上海交通大学,20,49,54,123
14,2019,上海交通大学,14,31,43,88
15,2013,同济大学,4,6,31,41
16,2014,同济大学,13,22,41,76
17,2015,同济大学,28,13,52,93
18,2016,同济大学,24,25,54,103
19,2017,同济大学,23,46,49,118
20,2018,同济大学,13,50,67,130
21,2019,同济大学,12,53,57,122
22,2013,华东师范大学,3,7,16,26
23,2014,华东师范大学,4,5,14,23
24,2015,华东师范大学,4,1,13,18
25,2016,华东师范大学,6,5,10,21
26,2017,华东师范大学,2,4,17,23
27,2018,华东师范大学,10,12,36,58
28,2019,华东师范大学,5,15,26,46
29,2013,华东理工大学,4,3,14,21
30,2014,华东理工大学,7,4,11,22
31,2015,华东理工大学,8,2,11,21
32,2016,华东理工大学,3,2,16,21
33,2017,华东理工大学,6,4,13,23
34,2018,华东理工大学,5,4,10,19
35,2019,华东理工大学,6,9,15,30
36,2013,东华大学,4,1,12,17
37,2014,东华大学,1,3,16,20
38,2015,东华大学,3,4,13,20
39,2016,东华大学,6,1,10,17
40,2017,东华大学,5,4,11,20
41,2018,东华大学,2,12,11,25
42,2019,东华大学,1,6,15,22
43,2013,上海财经大学,12,13,24,49
44,2014,上海财经大学,5,4,34,43
45,2015,上海财经大学,8,4,27,39
46,2016,上海财经大学,5,3,23,31
47,2017,上海财经大学,10,12,33,55
48,2018,上海财经大学,10,12,24,46
49,2019,上海财经大学,10,20,32,62
50,2013,上海理工大学,3,4,10,17
51,2014,上海理工大学,8,6,13,27
52,2015,上海理工大学,0,3,10,13
53,2016,上海理工大学,0,0,17,17
54,2017,上海理工大学,3,2,13,18
55,2018,上海理工大学,1,9,8,18
56,2019,上海理工大学,2,8,9,19
57,2013,上海海事大学,5,2,7,14
58,2014,上海海事大学,6,6,8,20
59,2015,上海海事大学,5,3,3,11
60,2016,上海海事大学,4,1,10,15
61,2017,上海海事大学,4,4,9,17
62,2018,上海海事大学,2,7,8,17
63,2019,上海海事大学,5,6,12,23
64,2013,上海海洋大学,2,3,7,12
65,2014,上海海洋大学,1,1,5,7
66,2015,上海海洋大学,1,2,10,13
67,2016,上海海洋大学,1,1,10,12
68,2017,上海海洋大学,0,2,2,4
69,2018,上海海洋大学,1,3,4,8
70,2019,上海海洋大学,1,2,2,5
71,2013,上海电力学院,0,2,4,6
72,2014,上海电力学院,4,0,2,6
73,2015,上海电力学院,5,0,1,6
74,2016,上海电力学院,6,0,3,9
75,2017,上海电力学院,2,2,5,9
76,2018,上海电力大学,6,0,3,9
77,2019,上海电力大学,8,1,9,18
78,2013,上海大学,3,1,9,13
79,2014,上海大学,3,3,9,15
80,2015,上海大学,3,3,11,17
81,2016,上海大学,2,3,16,21
82,2017,上海大学,1,3,9,13
83,2018,上海大学,2,3,11,16
84,2019,上海大学,5,8,14,27
85,2013,上海师范大学,0,0,3,3
86,2014,上海师范大学,1,1,12,14
87,2015,上海师范大学,2,1,4,7
88,2016,上海师范大学,1,0,5,6
89,2017,上海师范大学,1,0,4,5
90,2018,上海师范大学,0,3,13,16
91,2019,上海师范大学,0,4,13,17
92,2013,上海工程技术大学,6,4,35,45
93,2014,上海工程技术学校,9,2,33,44
94,2015,上海工程技术大学,5,4,31,40
95,2016,上海工程技术大学,6,9,27,42
96,2017,上海工程技术大学,5,13,23,41
97,2018,上海工程技术大学,3,15,17,35
98,2019,上海工程技术大学,2,13,17,32
99,2013,上海应用技术学院,2,2,6,10
100,2014,上海应用技术学院,0,2,10,12
101,2015,上海应用技术学院,1,3,11,15
102,2016,上海应用技术大学,5,0,5,10
103,2017,上海应用技术大学,1,3,4,8
104,2018,上海应用技术大学,0,3,5,8
105,2019,上海应用技术大学,1,1,3,5
106,2013,上海海关学院,4,4,2,10
107,2014,上海海关学院,2,2,3,7
108,2015,上海海关学院,3,0,10,13
109,2016,上海海关学院,1,1,6,8
110,2017,上海海关学院,0,0,4,4
111,2018,上海海关学院,0,0,0,0
112,2019,上海海关学院,0,0,1,1
113,2013,上海第二工业大学,2,1,2,5
114,2014,上海第二工业大学,2,2,2,6
115,2015,上海第二工业大学,4,1,5,10
116,2016,上海第二工业大学,1,1,3,5
117,2017,上海第二工业大学,1,1,3,5
118,2018,上海第二工业大学,0,0,1,1
119,2019,上海第二工业大学,0,0,1,1
120,2013,上海电机学院,1,1,6,8
121,2014,上海电机学院,2,3,7,12
122,2015,上海电机学院,0,0,11,11
123,2016,上海电机学院,1,1,7,9
124,2017,上海电机学院,1,1,6,8
125,2018,上海电机学院,0,0,7,7
126,2019,上海电机学院,0,1,6,7
127,2013,上海商学院,2,0,3,5
128,2014,上海商学院,2,1,9,12
129,2015,上海商学院,0,1,3,4
130,2016,上海商学院,0,0,2,2
131,2017,上海商学院,0,0,1,1
132,2018,上海商学院,0,1,1,2
133,2019,上海商学院,0,0,2,2
134,2013,上海建桥学院,0,1,2,3
135,2014,上海建桥学院,0,1,3,4
136,2015,上海建桥学院,0,0,0,0
137,2016,上海建桥学院,0,0,1,1
138,2017,上海建桥学院,0,1,1,2
139,2018,上海建桥学院,0,0,1,1
140,2019,上海建桥学院,0,0,1,1